10,bref,adj,en,prep,Afrique,np,le,det,président,nc,B-geoloc.
17,regagné,v,l',det,Afrique_du_Sud,np,dans,prep,la,det,B-geoloc.
21,avant,prep,le,det,Nigéria,np,POINT,ponctw,XX,XX,B-geoloc.
4,général,adj,des,prep,Nations_unies,np,Kofi_Annan,np,se,clr,B-org.
5,des,prep,Nations_unies,np,Kofi_Annan,np,se,clr,rendra,v,B-person.
10,lundi,nc,à,prep,Washington,np,pour,prep,s',clr,B-geoloc.
23,président,nc,américain,adj,George,np,Bush,np,c',cln,B-person.
24,américain,adj,George,np,Bush,np,c',cln,est_ce_qu',adv,I-person.
4,à_propos_de,prep,l',det,Afrique,np,la,det,France,np,B-geoloc.
6,Afrique,np,la,det,France,np,a,v,exprimé,v,B-org.
15,situation,nc,à,prep,Bujumbura,np,au,prep,Burundi,np,B-geoloc.
17,Bujumbura,np,au,prep,Burundi,np,à_la_suite_de,prep,l',det,B-geoloc.
40,indiqué,v,le,det,ministère,nc,français,adj,des,prep,B-org.
41,le,det,ministère,nc,français,adj,des,prep,affaires,nc,I-org.
42,ministère,nc,français,adj,des,prep,affaires,nc,étrangères,adj,I-org.
43,français,adj,des,prep,affaires,nc,étrangères,adj,POINT,ponctw,I-org.
44,des,prep,affaires,nc,étrangères,adj,POINT,ponctw,XX,XX,I-org.
3,enfin,adv,à,prep,Minsk,np,le,det,président,nc,B-geoloc.
2,vous,cln,écoutez,v,RTM,np,Chaîne,adj,Internationale,np,B-org.
3,écoutez,v,RTM,np,Chaîne,adj,Internationale,np,point,nc,I-org.
4,RTM,np,Chaîne,adj,Internationale,np,point,nc,final,adj,I-org.
11,Premier,np,ministre,nc,Driss,np,Jettou,np,XX,XX,B-person.
12,ministre,nc,Driss,np,Jettou,np,XX,XX,XX,XX,I-person.
0,XX,XX,XX,XX,parlement,nc,après,prep,la,det,B-org.
3,après,prep,la,det,Chambre,nc,des,prep,conseillers,nc,B-org.
4,la,det,Chambre,nc,des,prep,conseillers,nc,la,det,I-org.
5,Chambre,nc,des,prep,conseillers,nc,la,det,Chambre,nc,I-org.
1,XX,XX,le,det,Maroc,np,fait,v,don,nc,B-org.
10,médicaments,nc,à_la,prep,Mauritanie,np,POINT,ponctw,XX,XX,B-org.
2,attentat,nc,de,prep,Casablanca,np,dans,prep,le,det,B-geoloc.
35,près,prep,la,det,cour,nc,d',prep,appel,nc,B-geoloc.
36,la,det,cour,nc,d',prep,appel,nc,de,prep,I-geoloc.
37,cour,nc,d',prep,appel,nc,de,prep,Rabat,np,I-geoloc.
38,d',prep,appel,nc,de,prep,Rabat,np,POINT,ponctw,I-geoloc.
39,appel,nc,de,prep,Rabat,np,POINT,ponctw,XX,XX,I-geoloc.
3,dossier,nc,international,adj,Proche_Orient,np,:,ponctw,XX,XX,B-geoloc.
28,à_la,adv,sécurité,nc,Mohammad,np,Dahlane,np,et,coo,B-person.
29,sécurité,nc,Mohammad,np,Dahlane,np,et,coo,le,det,I-person.
37,défense,nc,israélien,adj,Shaul,np,Mofaz,np,en,prep,B-person.
38,israélien,adj,Shaul,np,Mofaz,np,en,prep,Irak,np,I-person.
40,Mofaz,np,en,prep,Irak,np,deux,det,soldats,nc,B-geoloc.
54,de,prep,l',det,Irak,np,lors_de,prep,deux,det,B-geoloc.
67,président,nc,américain,adj,George,np,Bush,np,a,v,B-person.
68,américain,adj,George,np,Bush,np,a,v,reconnu,v,I-person.
72,reconnu,v,à,prep,*,ponctw,Gaborone,np,que,csu,B-geoloc.
73,à,prep,*,ponctw,Gaborone,np,que,csu,Washington,np,I-geoloc.
75,Gaborone,np,que,csu,Washington,np,était,v,confronté,v,B-org.
84,sécurité,nc,en,prep,Irak,np,POINT,poncts,XX,XX,B-geoloc.
17,avant,prep,le,det,Nigéria,np,POINT,ponctw,XX,XX,B-geoloc.
2,vous,cln,écoutez,v,RTM,np,Chaîne,np,Inter,np,B-org.
3,écoutez,v,RTM,np,Chaîne,np,Inter,np,votre,det,I-org.
4,RTM,np,Chaîne,np,Inter,np,votre,det,prochain,adj,I-org.
7,écoute,nc,d',prep,RTM,np,Chaîne,np,Internationale,np,B-org.
8,d',prep,RTM,np,Chaîne,np,Internationale,np,le,det,I-org.
