0	pour	prep	O
1	les_autres	det	O
2	volets	nc	O
3	de	prep	O
4	l'	det	O
5	actualité	nc	O
6	internationale	adj	O
7	en_plus	adv	O
8	bref	adj	O
9	en	prep	O
10	Afrique	np	B-geoloc
11	le	det	O
12	président	nc	O
13	américain	adj	O
14	a	v	O
15	regagné	v	O
16	l'	det	O
17	Afrique_du_Sud	np	B-geoloc
18	dans	prep	O
19	la	det	O
20	soirée	nc	O
21	.	ponctw	O
	
0	pour	prep	O
1	une	det	O
2	brève	adj	O
3	étape	nc	O
4	nocturne	adj	O
5	il	cln	O
6	doit	v	O
7	se	clr	O
8	rendre	v	O
9	demain	adv	O
10	matin	nc	O
11	en	prep	O
12	Ouganda	np	B-geoloc
13	avant_dernière	adj	O
14	étape	nc	O
15	de	prep	O
16	sa	det	O
17	tournée	nc	O
18	africaine	adj	O
19	avant	prep	O
20	le	det	O
21	Nigéria	np	B-geoloc
22	.	ponctw	O
	
0	le	det	O
1	secrétaire	nc	O
2	général	adj	O
3	des	prep	O
4	Nations_unies	np	B-org
5	Kofi_Annan	np	B-person
6	se	clr	O
7	rendra	v	O
8	lundi	nc	O
9	à	prep	O
10	Washington	np	B-geoloc
11	pour	prep	O
12	s'	clr	O
13	y	clo	O
14	entretenir	v	O
15	avec	prep	O
16	à	prep	O
17	sa	det	O
18	demande	nc	O
19	avec	prep	O
20	le	det	O
21	président	nc	O
22	américain	adj	O
23	George	np	B-person
24	Bush	np	I-person
25	c'	cln	O
26	est_ce_qu'	adv	O
27	a	v	O
28	annoncé	v	O
29	l'	det	O
30	ONU	nc	B-org
31	.	ponctw	O
	
0	et	coo	O
1	toujours	adv	O
2	à_propos_de	prep	O
3	l'	det	O
4	Afrique	np	B-geoloc
5	la	det	O
6	France	np	B-org
7	a	v	O
8	exprimé	v	O
9	sa	det	O
10	préoccupation	nc	O
11	face_à	prep	O
12	la	det	O
13	situation	nc	O
14	à	prep	O
15	Bujumbura	np	B-geoloc
16	au	prep	O
17	Burundi	np	B-geoloc
18	à_la_suite_de	prep	O
19	l'	det	O
20	attaque	nc	O
21	du	prep	O
22	sud	nc	O
23	de	prep	O
24	la	det	O
25	ville	nc	O
26	par	prep	O
27	les	det	O
28	rebelles	adj	O
29	hutus	adj	O
30	des	prep	O
31	forces	nc	O
32	nationales	adj	O
33	de	prep	O
34	libération	nc	O
35	c'	prep	O
36	est_ce_qu'	adv	O
37	a	v	O
38	indiqué	v	O
39	le	det	O
40	ministère	nc	B-org
41	français	adj	I-org
42	des	prep	I-org
43	affaires	nc	I-org
44	étrangères	adj	I-org
45	.	ponctw	O
	
0	et_puis	coo	O
1	enfin	adv	O
2	à	prep	O
3	Minsk	np	B-geoloc
4	le	det	O
5	président	nc	O
6	Bélarusse	np	O
7	a	v	O
8	limogé	v	O
9	aujourd'hui	adv	O
10	son	det	O
11	Premier	np	O
12	ministre	nc	O
13	ainsi_que	csu	O
14	plusieurs	det	O
15	autres	adj	O
16	responsables	nc	O
17	gouvernementaux	adj	O
18	en	prep	O
19	leur	det	O
20	reprochant	v	O
21	des	det	O
22	difficultés	nc	O
23	économiques	adj	O
24	du	prep	O
25	pays	nc	O
26	.	ponctw	O
	
0	une	det	O
1	mesure	nc	O
2	dénoncée	v	O
3	par	prep	O
4	l'	det	O
5	opposition	nc	O
6	qui	prorel	O
7	a	v	O
8	vu	v	O
9	une	det	O
10	manoeuvre	nc	O
11	politique	adj	O
12	.	ponctw	O
	
0	vous	cln	O
1	écoutez	v	O
2	RTM	np	B-org
3	Chaîne	adj	I-org
4	Internationale	np	I-org
5	point	nc	O
6	final	adj	O
7	à	prep	O
8	cette	det	O
9	édition	nc	O
10	je	cln	O
11	vous	clo	O
12	en	clo	O
13	rappelle	v	O
14	les	det	O
15	principaux	adj	O
16	titres	nc	O
17	.	ponctw	O
	
0	réunion	nc	O
1	du	prep	O
2	Conseil	nc	O
3	de	prep	O
4	gouvernement	nc	O
5	sous	prep	O
6	la	det	O
7	présidence	nc	O
8	du	prep	O
9	Premier	np	O
10	ministre	nc	O
11	Driss	np	B-person
12	Jettou	np	I-person
	
0	parlement	nc	B-org
1	après	prep	O
2	la	det	O
3	Chambre	nc	B-org
4	des	prep	I-org
5	conseillers	nc	I-org
6	la	det	O
7	Chambre	nc	O
8	des	prep	O
9	représentants	nc	O
10	devait	v	O
11	clore	v	O
12	sa	det	O
13	session	nc	O
14	d'	prep	O
15	avril	nc	O
16	.	ponctw	O
	
0	le	det	O
1	Maroc	np	B-org
2	fait	v	O
